sku,note
999-989,Dummy Product - Other Combo Discount
99-997,Dummy Product - Credit card processing fee
717-153-50,Dummy Product - 2 man delivery extra charge
999-991,Return - Return to Base Refund
999-988,COLLECTION - COLLECTION FOR SHOP REPAIR
999-897,Curtain
999-896,Aramex - Aramex Claim
717-144-13,Onsite - Onsite Service
999-894,New Product - New Product 2k
717-177-72,NAPOLI - Fabric Sofa Set 3+2 Discount
717-132-00,Disposable Medical Mask Sterile EO
717-175-37,itransport - within island 0.1m3
717-119-20,itransport - inter-island 0.1m3
